127.0.0.1 - - [17/Nov/2019:00:34:38 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:35:07 +0700] "GET /learnspringmvc/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:35:16 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:35:19 +0700] "GET /learnspringmvc/?language=en HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:35:23 +0700] "GET /learnspringmvc/?language=vi_VN HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:35:25 +0700] "GET /learnspringmvc/?language=fr_FR HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:35:47 +0700] "GET /learnspringmvc/?language=fr_FR HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:35:49 +0700] "GET /learnspringmvc/?language=vi_VN HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:35:51 +0700] "GET /learnspringmvc/?language=en HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:36:38 +0700] "GET /learnspringmvc/?language=en HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:36:48 +0700] "GET /learnspringmvc/?language=vi_VN HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:36:51 +0700] "GET /learnspringmvc/?language=en HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:37:36 +0700] "GET /learnspringmvc/?language=en HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:37:37 +0700] "GET /learnspringmvc/?language=en HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:37:38 +0700] "GET /learnspringmvc/?language=en HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:37:39 +0700] "GET /learnspringmvc/?language=en HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:37:41 +0700] "GET /learnspringmvc/?language=vi_VN HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:37:44 +0700] "GET /learnspringmvc/?language=en HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:37:48 +0700] "GET /learnspringmvc/?language=vi_VN HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:37:49 +0700] "GET /learnspringmvc/?language=fr_FR HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:41:04 +0700] "GET /learnspringmvc/?language=fr_FR HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:41:07 +0700] "GET /learnspringmvc/?language=vi_VN HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:41:09 +0700] "GET /learnspringmvc/?language=vi_VN HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:41:11 +0700] "GET /learnspringmvc/?language=en HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:41:12 +0700] "GET /learnspringmvc/?language=vi_VN HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:41:14 +0700] "GET /learnspringmvc/?language=fr_FR HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:42:12 +0700] "GET /learnspringmvc/?language=fr_FR HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:42:13 +0700] "GET /learnspringmvc/?language=en HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:42:16 +0700] "GET /learnspringmvc/?language=vi_VN HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:42:45 +0700] "GET /learnspringmvc/?language=vi_VN HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:44:34 +0700] "GET /learnspringmvc/?language=vi_VN HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Nov/2019:00:48:23 +0700] "GET /learnspringmvc/?language=vi_VN HTTP/1.1" 200 299
